Unnamed: 0,lt,sts,obj,cnt,nms,razm,obn,okn,classification
10,329200062224004635,Подача заявок,Устройство щебеночного покрытия на подъездах к кладбищам в п.Усть-Погожье и с.Семеновка в Усть-Погожинском сельском поселении Дубовского муниципального района,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","2 083 288,00 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
11,129300014924000261,Подача заявок,Поставка запасных частей для дорожных машин,АДМИНИСТРАЦИЯ ВОЛГОГРАДА,"2 515 869,86 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
12,329200062224004646,Подача заявок,Поставка мясной продукции,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","2 179 768,72 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
13,229100000224000197,Подача заявок,Поставка носков-прокладок для уменьшения трения протеза и культи,ОТДЕЛЕНИЕ ФОНДА ПЕНСИОННОГО И СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ВОЛГОГРАДСКОЙ ОБЛАСТИ,"598 256,86 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
14,329300019924000002,Подача заявок,"Монтаж автоматической пожарной сигнализации в библиотеке-филиале Ю.В. Бондарева Волгоградского муниципального учреждения культуры «Централизованная система городских библиотек», расположенной по адресу: 400006, Волгоградская область, г. Волгоград, ул. им. Дзержинского, дом 19, в целях создания «Модельной муниципальной библиотеки им. Ю.В. Бондарева Волгоградского муниципального учреждения культуры «Централизованная система городских библиотек»","ВОЛГОГРАДСКОЕ МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЦЕНТРАЛИЗОВАННАЯ СИСТЕМА ГОРОДСКИХ БИБЛИОТЕК""","312 181,56 ₽",05.06.2024,05.06.2024,13.06.2024,Услуга
15,329200062224004645,Подача заявок,Поставка лекарственного препарата для медицинского применения Трипторелин,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","160 393,28 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
16,329300019924000001,Подача заявок,"Монтаж автоматической охранной сигнализации в библиотеке-филиале №4 им. Ю.В. Бондарева Волгоградского муниципального учреждения культуры «Централизованная система городских библиотек», расположенной по адресу: 400006, Волгоградская область, г. Волгоград, ул. им. Дзержинского, дом 19, в целях создания «Модельной муниципальной библиотеки им. Ю.В. Бондарева Волгоградского муниципального учреждения культуры «Централизованная система городских библиотек»","ВОЛГОГРАДСКОЕ МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЦЕНТРАЛИЗОВАННАЯ СИСТЕМА ГОРОДСКИХ БИБЛИОТЕК""","451 996,74 ₽",05.06.2024,05.06.2024,13.06.2024,Услуга
17,329100024624000151,Подача заявок,"Выполнение работ по капитальному ремонту пожарного водопровода в зданиях Центра реабилитации ""Волгоград"" по адресу: г.Волгоград ул.Санаторная,29","ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЦЕНТР РЕАБИЛИТАЦИИ ФОНДА ПЕНСИОННОГО И СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ""ВОЛГОГРАД""","8 272 400,00 ₽",05.06.2024,05.06.2024,13.06.2024,Работа
18,329200062224004644,Подача заявок,Поставка лекарственного препарата для медицинского применения Месалазин (торговое наименование - Пентаса),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","45 600,00 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
19,329200062224004643,Подача заявок,Поставка лекарственного препарата для медицинского применения Поливитамины (торговое наименование - Солувит Н) (РЛ),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","90 807,20 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
20,329200062224004642,Подача заявок,"Поставка массажера для физиотерапии, ввод в эксплуатацию, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия (ЗК98/ОМС/СМП/2024)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","447 666,67 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
21,129200005324001697,Подача заявок,"Поставка медицинских изделий (глюкоза ИВД, реагент) (С)",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"4 549 378,50 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
22,129200005324001696,Подача заявок,"Выполнение работ по текущему ремонту кровли здания учебного корпуса филиала ГОБУК ВО «ВГИИК» в г.Камышин  (г. Камышин, ул.Октябрьская,42)",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 431 233,63 ₽",05.06.2024,05.06.2024,17.06.2024,Работа
23,129200005324001695,Подача заявок,Оказание услуг охраны,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 517 853,36 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
24,129200005324001694,Подача заявок,оказание услуг по обращению с отходами класса «А» и  «Б»,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 458 320,00 ₽",05.06.2024,05.06.2024,13.06.2024,Услуга
25,129200005324001693,Подача заявок,"Выполнение работ по текущему ремонту фасада здания родильного дома ГУЗ ""КБ СМП № 7"" по адресу:  г. Волгоград  ул. Казахская,1",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 199 435,92 ₽",05.06.2024,05.06.2024,19.06.2024,Работа
26,329200062224004641,Подача заявок,Выполнение работ по монтажу автоматической пожарной сигнализации и системы оповещения и управления эвакуацией людей при пожаре с автоматическим речевым оповещением,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","267 000,00 ₽",05.06.2024,05.06.2024,17.06.2024,Работа
27,129200005324001692,Подача заявок,Оказание услуг аренды техники с экипажем,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"20 000 000,00 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
28,129200005324001691,Подача заявок,"Поставка мебели для нужд ГКОУ ""Волгоградская школа-интернат ""Надежда""",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"2 170 595,90 ₽",05.06.2024,05.06.2024,19.06.2024,Товар
29,329200062224004640,Подача заявок,Поставка бумаги для офисной техники,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","498 117,75 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
30,129200005324001690,Подача заявок,"Поставка изделий медицинского назначения (Держатель/электрод эндоскопический электрохирургический, биполярный, одноразового использования)",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"3 187 419,84 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
31,329200062224004639,Подача заявок,Поставка расходного материала для проведения процедуры гемодиализа (фильтр для очистки диализата от пирогенов для системы гемодиализа),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","261 224,64 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
32,329200062224004638,Подача заявок,Оказание услуг по оценке соответствия лифтов  в форме обследования,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","64 666,67 ₽",05.06.2024,05.06.2024,17.06.2024,Услуга
33,129200005324001689,Подача заявок,поставка сервера,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"3 100 000,00 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
34,329200062224004637,Подача заявок,Поставка реактивов для клинико-диагностической лаборатории для  анализаторов серии ERBA,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","578 631,97 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
35,129200005324001688,Подача заявок,"Поставка изделий медицинского назначения — Контур дыхательный аппарата искусственной вентиляции легких, одноразового использования",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 930 133,00 ₽",05.06.2024,05.06.2024,19.06.2024,Товар
36,129200005324001687,Подача заявок,Оказание услуг охраны (физическая охрана объектов),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"3 665 954,60 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
37,329200062224004636,Подача заявок,Оказание услуг финансовой аренды (лизинг) автогидроподъемника,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","15 042 332,13 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
38,129200005324001686,Подача заявок,"Выполнение работ по капитальному  ремонту  части внутренних помещений  1 этажа № 9,12,13   ГБУЗ «ВОКНД», находящихся  в составе  отдельностоящего здания по адресу: г. Волгоград, ул. Дегтярева, дом 8",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 312 853,38 ₽",05.06.2024,05.06.2024,19.06.2024,Работа
39,129200005324001605,Подача заявок,Поставка лекарственного препарата для медицинского применения (МНН- Велпатасвир+Софосбувир),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"3 627 358,56 ₽",29.05.2024,05.06.2024,13.06.2024,Товар
40,329100014924000037,Подача заявок,Поставка запасных частей к швейному оборудованию,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 24 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ВОЛГОГРАДСКОЙ ОБЛАСТИ""","43 834,00 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
41,329100009024000014,Подача заявок,"приобретение запасных частей, комплектующих, масел и смазок к автомобильной и с/х техники","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОЛОНИЯ-ПОСЕЛЕНИЕ № 27 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ВОЛГОГРАДСКОЙ ОБЛАСТИ""","608 602,58 ₽",05.06.2024,05.06.2024,14.06.2024,Услуга
42,129200005324001685,Подача заявок,"Выполнение работ по текущему ремонту замены окон на 1, 2 и 3 этаже в здании ГОБУК ВО «ВГИИК» по адресу: г. Волгоград, ул. Ковровская, 4",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"5 200 028,40 ₽",05.06.2024,05.06.2024,19.06.2024,Работа
43,129200005324001684,Подача заявок,Поставка  изделий медицинского назначения (Биопротез сердечного аортального клапана),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 961 432,00 ₽",05.06.2024,05.06.2024,19.06.2024,Товар
44,329200062224004634,Подача заявок,Ремонт дорожного покрытия по ул. Дзержинского в р.п Городище (в рамках текущего ремонта автомобильной дороги),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","5 070 733,66 ₽",05.06.2024,05.06.2024,17.06.2024,Услуга
45,129200005324001683,Подача заявок,"Закупка путевок в детские специализированные (профильные) лагеря, детские лагеря различной тематической направленности при организациях отдыха детей и их оздоровления (оказание услуг) с частичной оплатой стоимости за счет средств областного бюджета по направлениям: физическое воспитание и формирование культуры здоровья",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"7 056 000,00 ₽",05.06.2024,05.06.2024,13.06.2024,Услуга
46,129300045324000018,Подача заявок,Выполнение работ по регулярным перевозкам автомобильным транспортом по маршрутам № 100 и № 730  на территории Новониколаевского муниципального района Волгоградской области,АДМИНИСТРАЦИЯ НОВОНИКОЛАЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ,"984 206,08 ₽",05.06.2024,05.06.2024,13.06.2024,Работа
47,329200062224004633,Подача заявок,Гипс медицинский,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","10 000,20 ₽",05.06.2024,05.06.2024,17.06.2024,Услуга
48,129300014924000260,Подача заявок,"Выполнение работ по устройству теневых навесов на прогулочных участках МОУ детский сад № 32 в рамках реализации проекта ""Территория безопасного детства""",АДМИНИСТРАЦИЯ ВОЛГОГРАДА,"934 410,00 ₽",05.06.2024,05.06.2024,13.06.2024,Работа
49,329300297324000018,Подача заявок,Поставка бензина автомобильного,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИНФОРМАЦИОННО-УЧЕТНЫЙ ЦЕНТР МУНИЦИПАЛЬНЫХ УЧРЕЖДЕНИЙ ГОРОДСКОГО ОКРУГА ГОРОД ФРОЛОВО""","1 049 985,30 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
50,329100005924000180,Подача заявок,Поставка толкателя электрогидравлического для восполнения запасов АНЗ Цимлянского гидроузла Цимлянского РГСиС – филиала ФБУ «Администрация «Волго-Дон»,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""","91 178,02 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
51,329100005924000179,Подача заявок,"Поставка газоанализаторов на суда Донского РГСиС - филиала ФБУ ""Администрация ""Волго-Дон""","ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""","1 280 004,00 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
52,329100005924000178,Подача заявок,"Выполнение работ по текущему ремонту т/х ""Сокол"" проекта №3050 для нужд ВЭС - филиала ФБУ ""Администрация ""Волго-Дон""","ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""","2 282 108,60 ₽",05.06.2024,05.06.2024,14.06.2024,Работа
53,329200062224004632,Подача заявок,Поставка голографических пирамид 3D,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","568 666,66 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
54,129300014924000259,Подача заявок,Выполнение работ по замене линолеума в рекреации 1-го этажа МОУ СШ № 97 в рамках реализации проекта местных инициатив населения «Веселая школьная перемена»,АДМИНИСТРАЦИЯ ВОЛГОГРАДА,"900 000,00 ₽",05.06.2024,05.06.2024,13.06.2024,Работа
55,329200062224004631,Подача заявок,Поставка лекарственного препарата для медицинского применения (МНН Дротаверин),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","239 200,00 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
56,329200062224004630,Подача заявок,"Благоустройство площадки для проведения праздничных и других мероприятий в МКОУ ""Тормосиновская СШ"" , Волгоградская область Чернышковский район, х.Тормосин, ул. Советская, д.18","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","1 521 084,95 ₽",05.06.2024,05.06.2024,17.06.2024,Услуга
57,329200062224004629,Подача заявок,Поставка сантехнических материалов,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","130 538,20 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
58,329100005224000021,Подача заявок,Поставка мебели металлической для лаборатории,"ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""МЭИ"" В Г. ВОЛЖСКОМ","1 525 081,37 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
59,329100005924000182,Подача заявок,Поставка бытовой техники для нужд Донского РГСиС – филиала ФБУ «Администрация «Волго-Дон»,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""","193 700,00 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
60,329100005924000181,Подача заявок,Поставка мебели для оборудования помещений Донского РГСиС – филиала ФБУ «Администрация «Волго-Дон»,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""","47 000,00 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
61,329200062224004628,Подача заявок,Поставка лекарственного препарата для медицинского применения Эптаког Альфа,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","270 625,49 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
62,129300049224000029,Подача заявок,поставка и монтаж учебной мебели,АДМИНИСТРАЦИЯ КАМЫШИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 812 999,76 ₽",05.06.2024,05.06.2024,13.06.2024,Товар
63,129200005324001682,Подача заявок,Поставка изделий медицинского назначения (Катетер многоцелевой),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"2 619 334,00 ₽",05.06.2024,05.06.2024,20.06.2024,Товар
64,329200062224004625,Подача заявок,Выполнение работ по ремонту автомобильной дороги местного значения  с. Романовка Ольховского муниципального района Волгоградской области,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","1 099 950,46 ₽",05.06.2024,05.06.2024,14.06.2024,Работа
65,329200062224004490,Подача заявок,Поставка изделия медицинского назначения - Термометр для холодильника,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","46 182,50 ₽",31.05.2024,05.06.2024,13.06.2024,Товар
66,329200062224004453,Подача заявок,"Поставка медицинских изделий   – дефибриллятор внешний с ручным управлением, ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","805 200,00 ₽",31.05.2024,05.06.2024,11.06.2024,Товар
